emp_no,first_name,last_name,gender,hire_date,salary,title,from_date,to_date
452891,Abdelaziz,Bennet,M,1987-03-19,48035,Senior Staff,1996-03-18,9999-01-01
41147,Abdelaziz,Chimia,M,1985-08-14,40000,Senior Engineer,1992-08-14,9999-01-01
449838,Abdelaziz,Cmelik,M,1986-04-10,50795,Senior Engineer,1998-12-20,9999-01-01
51639,Abdelaziz,Czap,M,1987-09-23,97345,Senior Staff,1996-11-10,9999-01-01
32180,Abdelaziz,Hofman,F,1985-04-24,58455,Senior Staff,1994-04-24,9999-01-01
452574,Abdelaziz,Kampfer,F,1988-06-19,46011,Senior Engineer,1994-06-19,9999-01-01
287446,Abdelaziz,Krichel,M,1988-10-19,40000,Engineer,1999-06-25,9999-01-01
70311,Abdelaziz,Kugler,M,1987-02-16,40000,Senior Staff,1996-02-16,9999-01-01
419504,Abdelaziz,Masamoto,M,1986-09-18,49754,Senior Engineer,1998-06-26,9999-01-01
25308,Abdelaziz,Mayerwieser,M,1987-09-03,40000,Senior Engineer,1993-09-02,9999-01-01
467620,Abdelaziz,Melichar,M,1985-03-01,40000,Senior Staff,2001-12-20,9999-01-01
270564,Abdelaziz,Pearson,F,1988-02-06,40000,Senior Staff,1988-02-06,9999-01-01
480096,Abdelaziz,Percebois,M,1987-08-30,58001,Senior Engineer,1996-08-29,9999-01-01
469365,Abdelaziz,Schiper,F,1988-01-28,54997,Senior Staff,1993-01-27,9999-01-01
98079,Abdelaziz,Stiles,F,1987-10-06,40000,Senior Staff,1992-10-05,9999-01-01
451600,Abdelaziz,Thisen,M,1987-01-11,41508,Senior Engineer,1987-01-11,9999-01-01
104092,Abdelaziz,Vitiello,M,1986-11-28,48196,Assistant Engineer,1998-12-27,9999-01-01
25225,Abdelaziz,Vrecion,M,1988-10-11,63803,Engineer,1996-02-21,9999-01-01
490204,Abdelaziz,Waymire,F,1985-07-24,62220,Senior Staff,1990-07-24,9999-01-01
205568,Abdelghani,Aingworth,F,1985-09-22,72325,Senior Staff,1992-09-22,9999-01-01
38267,Abdelghani,Armand,F,1987-02-02,53738,Senior Engineer,2002-03-25,9999-01-01
99804,Abdelghani,Benner,M,1988-01-13,58433,Senior Engineer,2002-01-13,9999-01-01
231243,Abdelghani,Birta,M,1988-11-14,40000,Senior Staff,1988-11-14,9999-01-01
109915,Abdelghani,Cannane,F,1985-08-15,40025,Senior Staff,1992-11-19,9999-01-01
286902,Abdelghani,Cannata,M,1988-07-12,40000,Engineer,1997-04-30,9999-01-01
434084,Abdelghani,Cappello,F,1988-05-24,90879,Senior Staff,1995-06-12,9999-01-01
240160,Abdelghani,Clouatre,F,1985-03-15,43851,Senior Engineer,1985-03-15,9999-01-01
453955,Abdelghani,Covnot,F,1987-07-26,45463,Senior Engineer,1994-07-26,9999-01-01
94574,Abdelghani,Dulli,F,1985-09-09,41871,Senior Staff,1991-09-09,9999-01-01
28770,Abdelghani,Farris,M,1988-05-28,49773,Senior Engineer,1993-05-28,9999-01-01
274996,Abdelghani,Fioravanti,F,1987-06-04,40000,Senior Engineer,1998-02-14,9999-01-01
422588,Abdelghani,Gimarc,M,1988-10-25,40000,Senior Engineer,1988-10-25,9999-01-01
105441,Abdelghani,Haldar,F,1985-04-03,77975,Senior Staff,1985-04-03,9999-01-01
416899,Abdelghani,Heijenga,M,1987-03-27,42236,Engineer,1997-05-26,9999-01-01
229415,Abdelghani,Ibel,M,1987-03-03,48782,Senior Engineer,1992-03-02,9999-01-01
17468,Abdelghani,Irland,F,1988-08-31,59122,Senior Staff,1996-06-13,9999-01-01
454863,Abdelghani,Krichel,M,1987-07-25,44471,Senior Engineer,1988-12-07,9999-01-01
244946,Abdelghani,Lubachevsky,M,1985-10-04,40000,Senior Engineer,1985-10-04,9999-01-01
54783,Abdelghani,Nannarelli,M,1986-01-08,53971,Senior Engineer,1991-01-08,9999-01-01
108053,Abdelghani,Nilsson,F,1985-07-14,76316,Senior Staff,2002-05-11,9999-01-01
419543,Abdelghani,Nitsch,M,1988-04-11,63547,Senior Staff,1995-03-27,9999-01-01
290946,Abdelghani,Reutenauer,M,1987-09-05,72590,Senior Staff,1998-11-30,9999-01-01
202446,Abdelghani,Rouquie,F,1985-02-02,62097,Engineer,1998-01-09,9999-01-01
258003,Abdelghani,Rubsam,F,1988-02-03,67536,Staff,1996-09-26,9999-01-01
488068,Abdelghani,Sabnani,F,1987-04-10,93207,Senior Staff,1996-04-09,9999-01-01
283209,Abdelghani,Seiwald,M,1988-06-20,74913,Senior Staff,1993-06-20,9999-01-01
429211,Abdelghani,Tchuente,M,1985-11-20,40000,Senior Engineer,1992-11-20,9999-01-01
79972,Abdelghani,Thummel,M,1985-09-28,40000,Senior Staff,1996-06-03,9999-01-01
286921,Abdelghani,Turnbull,M,1985-12-30,43422,Senior Engineer,1993-01-19,9999-01-01
496882,Abdelghani,Vural,F,1986-03-24,56434,Staff,1996-06-16,9999-01-01
264390,Abdelghani,Waeselynck,F,1986-03-15,91248,Senior Staff,1993-03-15,9999-01-01
41674,Abdelghani,Yemenis,M,1985-03-10,40000,Senior Engineer,1990-03-10,9999-01-01
231876,Abdelkader,Akazan,M,1986-02-27,40000,Senior Staff,2000-02-14,9999-01-01
265903,Abdelkader,Angelov,F,1985-08-20,49831,Senior Staff,1995-05-28,9999-01-01
31594,Abdelkader,Birta,M,1987-09-13,40000,Senior Staff,1998-09-05,9999-01-01
418553,Abdelkader,Caine,F,1988-02-20,46156,Senior Engineer,1996-02-20,9999-01-01
452576,Abdelkader,Chvatal,F,1985-09-17,48631,Senior Staff,1990-09-17,9999-01-01
211510,Abdelkader,Demir,M,1987-09-11,40000,Senior Engineer,1994-08-10,9999-01-01
453759,Abdelkader,Desikan,F,1985-11-28,80329,Senior Engineer,1993-11-28,9999-01-01
275126,Abdelkader,Dichev,M,1987-12-22,56868,Senior Staff,1993-12-21,9999-01-01
406343,Abdelkader,Ecklund,M,1987-03-08,40000,Senior Engineer,2001-11-09,9999-01-01
418991,Abdelkader,Emden,M,1986-09-05,40000,Senior Engineer,1991-02-27,9999-01-01
272281,Abdelkader,Fairtlough,F,1987-02-24,40000,Senior Engineer,2001-02-24,9999-01-01
212799,Abdelkader,Falby,F,1987-01-23,40000,Senior Engineer,1995-06-14,9999-01-01
50234,Abdelkader,Felder,M,1985-12-14,40000,Senior Engineer,1993-12-14,9999-01-01
417477,Abdelkader,Gadepally,F,1986-07-15,40000,Staff,1999-10-18,9999-01-01
68552,Abdelkader,Gronowski,F,1988-03-25,40000,Senior Staff,1997-03-13,9999-01-01
65045,Abdelkader,Koshiba,M,1985-08-08,44054,Senior Engineer,1985-08-08,9999-01-01
11295,Abdelkader,Lanzelotte,M,1985-05-15,66622,Senior Staff,1990-05-15,9999-01-01
436372,Abdelkader,Leslie,F,1986-10-19,45073,Senior Staff,1994-10-19,9999-01-01
69928,Abdelkader,Nourani,M,1987-07-02,40000,Senior Staff,2000-04-09,9999-01-01
44616,Abdelkader,Pettis,M,1988-08-31,40000,Senior Staff,1988-08-31,9999-01-01
292618,Abdelkader,Salverda,F,1988-01-10,58484,Senior Engineer,1988-01-10,9999-01-01
77689,Abdelkader,Swan,M,1986-11-16,65233,Senior Staff,1992-11-15,9999-01-01
93433,Abdelkader,Tchuente,M,1985-04-16,88427,Senior Staff,1991-04-16,9999-01-01
492868,Abdelkader,Trumbly,F,1987-08-20,44250,Staff,1997-03-24,9999-01-01
236192,Abdelkader,Whitcomb,F,1988-07-20,49430,Senior Engineer,1993-11-13,9999-01-01
235197,Abdelwaheb,Baig,F,1987-05-22,46322,Senior Staff,1987-05-22,9999-01-01
20450,Abdelwaheb,Binkley,M,1987-11-09,41934,Senior Engineer,1995-11-09,9999-01-01
434700,Abdelwaheb,Botman,M,1987-01-15,40000,Senior Engineer,1996-01-15,9999-01-01
447816,Abdelwaheb,Buescher,M,1985-10-25,58957,Engineer,1995-12-08,9999-01-01
200108,Abdelwaheb,Chvatal,M,1985-04-28,40000,Senior Engineer,2001-12-16,9999-01-01
479432,Abdelwaheb,England,M,1985-06-25,65360,Senior Engineer,1995-06-25,9999-01-01
28366,Abdelwaheb,Falster,M,1985-08-19,62653,Senior Engineer,1985-08-19,9999-01-01
235326,Abdelwaheb,Gustavson,M,1986-11-14,66235,Senior Engineer,1995-01-08,9999-01-01
275710,Abdelwaheb,Hofmeyr,M,1987-10-29,51041,Senior Staff,2001-07-20,9999-01-01
12222,Abdelwaheb,Holburn,F,1986-09-01,55840,Senior Staff,1996-08-14,9999-01-01
442515,Abdelwaheb,Langford,M,1988-11-13,40000,Senior Engineer,1995-04-05,9999-01-01
451020,Abdelwaheb,Masada,F,1985-11-06,59794,Senior Staff,1997-11-25,9999-01-01
450319,Abdelwaheb,Panienski,M,1987-12-03,54555,Senior Engineer,1994-12-03,9999-01-01
288698,Abdelwaheb,Penz,M,1988-01-21,40000,Technique Leader,1988-01-21,9999-01-01
425011,Abdelwaheb,Prochazka,M,1985-06-17,40000,Senior Engineer,1999-05-21,9999-01-01
232067,Abdelwaheb,Rosay,F,1985-05-01,55385,Engineer,1994-03-10,9999-01-01
409123,Abdelwaheb,Schaft,F,1987-09-01,56643,Senior Engineer,1994-09-01,9999-01-01
76878,Abdelwaheb,Turnbull,M,1985-12-20,64870,Staff,1995-07-30,9999-01-01
424591,Abdelwaheb,Yeung,M,1985-10-31,79558,Senior Staff,1994-07-17,9999-01-01
202438,Abdulah,Antonisse,F,1985-03-25,44429,Senior Engineer,1993-03-25,9999-01-01
233030,Abdulah,Businaro,F,1986-10-27,53542,Senior Staff,1993-10-27,9999-01-01
477389,Abdulah,Claffy,M,1986-06-28,99593,Senior Staff,1997-02-19,9999-01-01
261213,Abdulah,Covnot,M,1986-04-30,100122,Senior Staff,1987-07-25,9999-01-01
243716,Abdulah,Denos,F,1987-09-29,44261,Technique Leader,1993-05-15,9999-01-01
281170,Abdulah,Dulli,F,1987-07-24,48437,Technique Leader,1994-10-09,9999-01-01
445928,Abdulah,Ermel,M,1986-09-22,48690,Senior Engineer,1995-09-22,9999-01-01
477778,Abdulah,Fadgyas,M,1987-05-24,79631,Senior Staff,1997-10-25,9999-01-01
17260,Abdulah,Famili,F,1987-05-18,40000,Engineer,1995-05-18,9999-01-01
31058,Abdulah,Frezza,M,1988-02-15,41299,Senior Engineer,1988-02-15,9999-01-01
226878,Abdulah,Furedi,F,1988-10-22,86694,Staff,1997-09-09,9999-01-01
498450,Abdulah,Gammage,F,1988-11-07,54972,Senior Engineer,1996-08-29,9999-01-01
96562,Abdulah,Ghemri,M,1987-01-08,51945,Senior Staff,1994-01-08,9999-01-01
258473,Abdulah,Hellwagner,M,1988-03-22,44989,Engineer,1999-11-23,9999-01-01
236125,Abdulah,Jumpertz,F,1986-04-06,59417,Senior Engineer,1991-04-06,9999-01-01
467242,Abdulah,Kalefeld,M,1985-10-27,40000,Senior Staff,1991-10-27,9999-01-01
276971,Abdulah,Kropp,F,1986-07-05,40000,Senior Engineer,1992-12-06,9999-01-01
436525,Abdulah,Langford,F,1988-07-15,56029,Senior Engineer,1997-07-15,9999-01-01
273429,Abdulah,Lovengreen,F,1988-05-15,64049,Senior Engineer,2000-04-21,9999-01-01
255610,Abdulah,Paciorek,M,1988-11-20,68475,Senior Engineer,1996-11-20,9999-01-01
212692,Abdulah,Pardalos,F,1988-05-22,47362,Senior Engineer,1995-01-03,9999-01-01
470681,Abdulah,Plump,F,1987-02-05,49719,Senior Engineer,2001-02-05,9999-01-01
420337,Abdulah,Ranum,M,1985-06-10,58648,Senior Staff,1992-06-10,9999-01-01
408551,Abdulah,Schiper,F,1986-12-26,98178,Senior Staff,1996-03-18,9999-01-01
36412,Abdulah,Senzako,M,1988-09-07,61626,Senior Staff,1994-06-20,9999-01-01
264932,Abdulah,Valiente,M,1986-10-10,40000,Staff,1995-07-30,9999-01-01
457801,Abdulla,Antonakopoulos,M,1987-08-01,56267,Senior Staff,1994-08-01,9999-01-01
200348,Abdulla,Back,M,1985-05-13,56392,Senior Engineer,1991-05-13,9999-01-01
250528,Abdulla,Barvinok,M,1986-02-11,41455,Senior Staff,1988-09-19,9999-01-01
263713,Abdulla,Bashian,F,1987-06-20,59364,Senior Engineer,1993-06-19,9999-01-01
78441,Abdulla,Beetstra,M,1985-11-03,40000,Senior Engineer,1990-11-03,9999-01-01
431769,Abdulla,Benaini,M,1986-12-29,64519,Senior Staff,1992-12-09,9999-01-01
498906,Abdulla,Bugrara,M,1987-05-13,63392,Senior Engineer,1987-05-13,9999-01-01
435350,Abdulla,Debuse,F,1988-07-26,65081,Senior Staff,1997-07-26,9999-01-01
16438,Abdulla,Demeyer,M,1985-05-17,52449,Senior Engineer,1996-04-08,9999-01-01
276019,Abdulla,Erev,M,1988-10-21,40000,Senior Staff,1994-10-21,9999-01-01
26283,Abdulla,Feldmann,M,1988-12-05,40000,Senior Engineer,1993-12-04,9999-01-01
203476,Abdulla,Flasterstein,M,1985-03-22,40000,Senior Staff,1993-03-22,9999-01-01
14237,Abdulla,Gerlach,F,1986-06-13,57219,Senior Engineer,1994-06-13,9999-01-01
91763,Abdulla,Gronowski,F,1986-03-04,50283,Engineer,1998-11-26,9999-01-01
286032,Abdulla,Hempstead,M,1988-07-29,43757,Senior Staff,1999-04-02,9999-01-01
292744,Abdulla,Ibel,M,1988-02-24,47839,Senior Engineer,1993-02-23,9999-01-01
263140,Abdulla,Iisaku,M,1986-02-16,76277,Senior Staff,1998-01-05,9999-01-01
452869,Abdulla,Klassen,F,1985-07-01,40000,Senior Engineer,1991-07-01,9999-01-01
418603,Abdulla,Kropf,M,1987-08-24,40886,Staff,1996-05-31,9999-01-01
260573,Abdulla,Lamparter,F,1986-12-30,58846,Senior Staff,1996-05-20,9999-01-01
448846,Abdulla,Lipner,M,1986-11-22,74508,Senior Staff,1992-03-28,9999-01-01
22557,Abdulla,Luon,M,1988-06-12,82178,Senior Staff,1988-06-12,9999-01-01
89882,Abdulla,Murrill,M,1986-01-30,64346,Senior Engineer,1997-07-17,9999-01-01
253928,Abdulla,Oberman,M,1985-03-03,53683,Senior Engineer,1993-03-03,9999-01-01
36895,Abdulla,Ozeri,F,1988-06-25,60484,Engineer,1994-03-02,9999-01-01
433131,Abdulla,Papastamatiou,M,1986-05-13,40613,Senior Staff,1991-05-13,9999-01-01
106552,Abdulla,Schaap,F,1987-01-21,49915,Senior Engineer,1995-01-21,9999-01-01
218653,Abdulla,Siochi,F,1988-09-26,40000,Senior Staff,1988-09-26,9999-01-01
221453,Abdulla,Staylopatis,M,1987-06-10,40000,Senior Engineer,1987-06-10,9999-01-01
297987,Abdulla,Taubenfeld,M,1985-08-22,40000,Senior Engineer,2000-05-31,9999-01-01
412324,Abdulla,Tokunaga,M,1985-05-02,40000,Senior Staff,1991-06-20,9999-01-01
252764,Abdulla,Vendrig,M,1986-09-08,44498,Staff,1997-09-18,9999-01-01
283568,Abdulla,Zallocco,F,1985-02-02,40000,Senior Staff,1992-09-15,9999-01-01
217523,Abdulla,Zolotykh,F,1985-03-05,60944,Senior Engineer,1992-03-05,9999-01-01
76897,Achilleas,Bamford,M,1988-06-06,50411,Engineer,1999-07-27,9999-01-01
462506,Achilleas,Bugaenko,F,1986-10-11,40000,Senior Engineer,1994-09-03,9999-01-01
245064,Achilleas,Dayana,F,1985-04-30,40000,Senior Engineer,1997-09-26,9999-01-01
107924,Achilleas,Georgakopoulos,F,1987-11-10,55206,Senior Staff,1987-11-10,9999-01-01
276089,Achilleas,Goldhammer,F,1986-10-03,54001,Senior Engineer,1994-10-03,9999-01-01
476618,Achilleas,Kawashimo,F,1985-12-16,40000,Senior Staff,1994-12-16,9999-01-01
428151,Achilleas,Knightly,F,1986-07-09,40000,Staff,1998-06-05,9999-01-01
407671,Achilleas,Lanteri,F,1988-02-27,57267,Technique Leader,1990-07-20,9999-01-01
62750,Achilleas,Lemarechal,M,1985-08-26,78766,Senior Staff,1995-06-24,9999-01-01
270492,Achilleas,Leonhardt,M,1987-11-20,52428,Engineer,1999-08-24,9999-01-01
293501,Achilleas,Litecky,M,1986-01-07,42327,Senior Engineer,1995-01-07,9999-01-01
256001,Achilleas,Luby,F,1986-03-21,55732,Senior Staff,1994-03-21,9999-01-01
477017,Achilleas,Matteis,M,1988-12-01,50163,Engineer,1998-08-11,9999-01-01
472984,Achilleas,Molberg,M,1986-02-07,40000,Senior Staff,1992-02-07,9999-01-01
462237,Achilleas,Mundy,F,1988-12-09,48170,Senior Engineer,1999-05-13,9999-01-01
269776,Achilleas,Pelc,M,1988-06-30,56149,Senior Staff,2000-09-02,9999-01-01
231706,Achilleas,Pettey,M,1988-04-03,57246,Senior Staff,1994-04-03,9999-01-01
409914,Achilleas,Ramsay,F,1985-12-11,43849,Senior Engineer,1998-08-19,9999-01-01
237480,Achilleas,Ranai,M,1987-04-21,40000,Senior Engineer,1996-04-20,9999-01-01
66668,Achilleas,Reeken,F,1988-05-30,40000,Senior Staff,1996-05-30,9999-01-01
474980,Achilleas,Rindone,M,1987-09-13,42091,Senior Staff,1993-09-12,9999-01-01
201976,Achilleas,Rosay,F,1987-12-12,40000,Engineer,1996-09-07,9999-01-01
473919,Achilleas,Scallan,M,1987-07-04,40000,Senior Engineer,1994-07-04,9999-01-01
432426,Achilleas,Szemeredi,M,1987-09-03,62465,Senior Staff,2001-03-23,9999-01-01
423454,Achilleas,Vandervoorde,M,1985-02-21,40000,Senior Engineer,1999-08-18,9999-01-01
236447,Achilleas,Vasanthakumar,M,1988-01-21,59038,Senior Staff,1997-01-20,9999-01-01
403798,Achilleas,Wissmann,F,1986-04-07,40000,Senior Engineer,1994-05-28,9999-01-01
464367,Achilleas,Zhang,M,1985-06-11,40000,Technique Leader,1997-11-26,9999-01-01
289878,Adam,Beznosov,F,1985-10-02,51966,Senior Engineer,1994-10-02,9999-01-01
233022,Adam,Bisiani,M,1988-05-28,65738,Senior Engineer,1988-05-28,9999-01-01
243743,Adam,Cyre,M,1986-08-24,40000,Senior Engineer,1994-08-24,9999-01-01
35960,Adam,Danlos,M,1986-11-16,52523,Senior Staff,1995-11-16,9999-01-01
208525,Adam,DiGiano,F,1988-10-10,79946,Senior Staff,1996-06-11,9999-01-01
97225,Adam,Erez,F,1988-05-21,40000,Technique Leader,1988-05-21,9999-01-01
415367,Adam,Esposito,M,1988-08-25,49243,Senior Engineer,1992-03-25,9999-01-01
233681,Adam,Fontet,M,1988-06-13,40000,Senior Engineer,1993-06-13,9999-01-01
226884,Adam,Fortenbacher,M,1986-12-08,40000,Assistant Engineer,1997-05-19,9999-01-01
265814,Adam,Garrabrants,M,1988-07-25,40000,Senior Staff,1997-04-21,9999-01-01
418934,Adam,Gurbaxani,F,1985-11-30,51582,Senior Staff,1992-11-30,9999-01-01
427795,Adam,Hofting,M,1986-11-05,88564,Senior Staff,1994-11-05,9999-01-01
86539,Adam,Junet,F,1988-10-06,40000,Senior Staff,1994-10-06,9999-01-01
43241,Adam,Kisuki,M,1987-09-06,71985,Senior Staff,2000-04-19,9999-01-01
214307,Adam,Lamma,M,1987-01-25,40000,Senior Engineer,1995-01-25,9999-01-01
265830,Adam,Marchegay,M,1988-07-11,40000,Senior Engineer,1988-07-11,9999-01-01
465053,Adam,Navazio,M,1986-12-02,47193,Senior Staff,2000-07-07,9999-01-01
482523,Adam,Plessier,M,1988-03-01,49571,Technique Leader,1989-11-11,9999-01-01
430016,Adam,Randi,F,1987-01-08,45009,Senior Staff,1994-07-08,9999-01-01
272727,Adam,Shiratori,M,1985-03-25,40000,Technique Leader,1985-03-25,9999-01-01
446319,Adam,Siepmann,M,1985-02-10,40000,Senior Staff,1993-02-10,9999-01-01
475886,Adam,Vecchio,M,1986-08-16,86937,Senior Staff,1992-01-12,9999-01-01
249174,Adam,Vernadat,M,1985-10-11,89375,Senior Engineer,1991-10-11,9999-01-01
459363,Adam,Walston,M,1988-02-04,40000,Senior Engineer,1996-02-04,9999-01-01
17925,Adamantios,Baezner,F,1987-03-09,47958,Senior Engineer,1996-03-08,9999-01-01
456183,Adamantios,Bennis,M,1988-07-09,40000,Senior Engineer,1998-07-09,9999-01-01
292322,Adamantios,Colorni,M,1985-03-03,98832,Senior Staff,1993-03-03,9999-01-01
75688,Adamantios,Crooks,M,1986-12-29,58658,Staff,1998-08-22,9999-01-01
225363,Adamantios,Cullers,M,1985-12-03,40000,Senior Staff,1986-01-05,9999-01-01
493997,Adamantios,Emiris,F,1986-12-02,43338,Staff,1995-06-29,9999-01-01
415807,Adamantios,Encarnacion,M,1985-09-22,59863,Senior Staff,1998-09-22,9999-01-01
36197,Adamantios,Eppinger,M,1987-04-15,40000,Senior Staff,1996-10-05,9999-01-01
402942,Adamantios,Ligten,F,1988-06-17,91981,Senior Staff,1997-08-18,9999-01-01
236555,Adamantios,Luga,M,1986-12-30,61592,Senior Staff,1999-08-16,9999-01-01
486674,Adamantios,Luke,M,1987-11-15,40000,Senior Engineer,2000-02-21,9999-01-01
428732,Adamantios,Malabarba,M,1985-06-04,47588,Senior Engineer,1988-04-20,9999-01-01
452527,Adamantios,Nourani,M,1985-09-22,55929,Senior Staff,1994-09-22,9999-01-01
29527,Adamantios,Oaver,M,1986-11-06,58827,Senior Staff,1995-11-06,9999-01-01
494692,Adamantios,Pehl,M,1987-01-06,40000,Senior Staff,1994-01-06,9999-01-01
297201,Adamantios,Rahier,M,1988-09-24,44879,Senior Engineer,1997-09-24,9999-01-01
226919,Adamantios,Rehfuss,M,1986-09-19,47422,Senior Staff,1986-09-19,9999-01-01
100884,Adamantios,Rousseau,M,1986-10-10,44880,Senior Staff,2000-12-14,9999-01-01
402585,Adamantios,Swick,M,1988-04-24,45558,Senior Staff,1996-04-11,9999-01-01
266735,Adamantios,Thambidurai,M,1987-08-30,40721,Senior Staff,1994-08-30,9999-01-01
488018,Adamantios,Zweizig,M,1988-04-20,75933,Senior Staff,1994-04-20,9999-01-01
215776,Adas,Ashish,M,1988-03-10,43918,Senior Engineer,1993-03-10,9999-01-01
45743,Adas,Baaleh,F,1988-12-28,65720,Senior Staff,2001-03-14,9999-01-01
481694,Adas,Baumann,M,1987-05-31,40000,Senior Engineer,1996-05-30,9999-01-01
286412,Adas,Bresenham,M,1987-04-22,40000,Senior Engineer,1999-05-10,9999-01-01
251092,Adas,Chenney,F,1985-03-15,59201,Senior Engineer,1994-03-15,9999-01-01
410418,Adas,Dahlbom,M,1986-05-07,60695,Senior Engineer,1990-08-21,9999-01-01
213786,Adas,Deyuan,M,1985-03-21,84123,Senior Staff,1996-01-14,9999-01-01
100974,Adas,Ebeling,M,1985-10-25,40000,Engineer,1994-10-25,9999-01-01
452626,Adas,Ertl,F,1987-07-05,40000,Senior Engineer,1987-07-05,9999-01-01
415574,Adas,Gimbel,F,1987-05-08,40164,Senior Engineer,1987-05-08,9999-01-01
406950,Adas,Heering,M,1985-06-27,66766,Senior Staff,2000-01-25,9999-01-01
14167,Adas,Hertweck,F,1985-12-01,40000,Senior Engineer,1994-12-01,9999-01-01
285065,Adas,Hitomi,M,1985-08-08,48100,Senior Engineer,1993-08-08,9999-01-01
498613,Adas,Hofmeyr,M,1986-01-02,91907,Senior Staff,1991-01-02,9999-01-01
471239,Adas,Marletta,M,1988-11-23,40000,Senior Staff,1998-11-06,9999-01-01
294978,Adas,Pagter,M,1987-09-04,66099,Senior Engineer,1995-09-04,9999-01-01
22917,Adas,Pfau,M,1988-11-17,47460,Senior Engineer,1995-11-18,9999-01-01
496302,Adas,Plesums,F,1988-07-03,42309,Engineer,1997-07-03,9999-01-01
480060,Adas,Radwan,F,1986-12-24,45665,Engineer,1994-12-24,9999-01-01
433020,Adas,Rahimi,M,1987-03-20,40000,Engineer,1998-09-10,9999-01-01
46960,Adas,Ranze,M,1987-06-27,40000,Senior Engineer,1996-06-26,9999-01-01
218061,Adas,Rusterholz,M,1987-05-28,51836,Senior Engineer,1994-12-04,9999-01-01
39900,Adas,Schach,F,1987-11-09,40000,Technique Leader,1996-07-14,9999-01-01
471815,Adas,Sidje,M,1986-03-17,45408,Senior Engineer,1996-01-18,9999-01-01
462559,Adas,Swift,F,1986-04-26,62223,Senior Engineer,1997-11-15,9999-01-01
39868,Adas,Tomescu,M,1986-04-18,42251,Senior Engineer,1991-04-18,9999-01-01
59734,Adas,Ulupinar,M,1987-12-26,50404,Senior Engineer,1995-12-26,9999-01-01
447213,Adas,Warwick,F,1985-02-28,94124,Senior Engineer,1993-12-31,9999-01-01
429680,Adas,Weiland,M,1985-09-16,40000,Senior Engineer,1994-09-16,9999-01-01
